state,density
Alabama,9.3
Alaska,18.4
Arizona,5.4
Arkansas,4.9
California,14.9
Colorado,11.1
Connecticut,16.0
Delaware,10.3
District of Columbia,9.9
Florida,5.6
Georgia,4.5
Hawaii,23.3
Idaho,4.9
Illinois,13.9
Indiana,8.9
Iowa,7.8
Kansas,7.2
Kentucky,8.9
Louisiana,5.0
Maine,13.0
Maryland,11.0
Massachusetts,13.7
Michigan,14.6
Minnesota,15.1
Mississippi,5.2
Missouri,9.5
Montana,12.0
Nebraska,6.6
Nevada,14.0
New Hampshire,10.2
New Jersey,14.9
New Mexico,6.7
New York,22.4
North Carolina,2.7
North Dakota,5.4
Ohio,12.7
Oklahoma,5.7
Oregon,14.1
Pennsylvania,12.6
Rhode Island,17.4
South Carolina,2.8
South Dakota,5.7
Tennessee,5.5
Texas,4.3
Utah,4.1
Vermont,10.6
Virginia,4.3
Washington,20.4
West Virginia,10.1
Wisconsin,8.2
Wyoming,6.6
